STATE ID,STATE,ElectRate 2024 ¢,ElectRate 2023 ¢,Regular,Mid-Grade,Premium,Diesel,Energy bill,Monthly Water Bill,Internet,Natural Gas,Phone Bill,Streaming
AL,Alabama,12.41,12.79, 3.27 , 3.68 , 4.07 , 3.85 , 147.75 , 30.00 , 35.00 , 81.00 , 114.00 , 44.75 
AK,Alaska,22.54,22.14, 4.37 , 4.59 , 4.84 , 3.95 , 133.89 , 68.00 , 50.00 , 164.00 , 114.00 , 39.75 
AS,American Samoa,29,, 3.60 ,,, 3.75 , 100.00 , 25.00 , 145.00 , 40.00 ,,
AZ,Arizona,13.16,12.65, 4.13 , 4.47 , 4.75 , 4.08 , 131.35 , 64.00 , 20.00 , 82.00 , 114.00 , 49.50 
AR,Arkansas,9.99,10.73, 3.23 , 3.61 , 4.00 , 3.73 , 123.69 , 26.00 , 30.00 , 65.00 , 114.00 , 45.50 
CA,California,19.9,19.39, 5.46 , 5.67 , 5.84 , 5.45 , 123.67 , 77.00 , 40.00 , 34.00 , 114.00 , 49.25 
CO,Colorado,12.28,12.75, 3.12 , 3.48 , 3.80 , 3.66 , 91.96 , 39.00 , 30.00 , 47.00 , 114.00 , 50.00 
CT,Connecticut,21.62,20.47, 3.53 , 4.04 , 4.43 , 4.22 , 156.21 , 69.00 , 38.00 , 107.00 , 114.00 , 48.50 
DE,Delaware,12.05,12.59, 3.47 , 3.97 , 4.24 , 4.00 , 118.85 , 46.00 , 30.00 , 80.00 , 114.00 , 47.00 
DC,DC,13.21,13.4, 3.74 , 4.30 , 4.70 , 4.37 , 130.40 , 33.00 , 30.00 , 105.00 , 114.00 , 46.00 
FL,Florida,11.37,12.02, 3.64 , 4.05 , 4.36 , 3.95 , 134.11 , 28.00 , 30.00 , 118.00 , 45.00 , 50.75 
GA,Georgia,12.26,12.53, 3.43 , 3.87 , 4.25 , 4.00 , 177.78 , 64.00 , 45.00 , 122.00 , 114.00 , 40.75 
GU,Guam,41.6,, 5.29 , 6.19 , 6.39 , 6.61 , 194.00 , 120.00 , 75.00 , 135.00 ,,
HI,Hawaii,32.76,30.45, 4.78 , 4.98 , 5.24 , 5.57 , 97.62 , 38.00 , 30.00 , 40.00 , 114.00 , 48.25 
ID,Idaho,10.58,11.42, 3.93 , 4.15 , 4.40 , 4.04 , 95.86 , 26.00 , 30.00 , 97.00 , 114.00 , 49.50 
IL,Illinois,12.56,12.95, 3.97 , 4.47 , 4.90 , 4.13 , 126.51 , 30.00 , 30.00 , 122.00 , 114.00 , 47.00 
IN,Indiana,12.02,12.05, 3.57 , 4.07 , 4.53 , 4.07 , 109.63 , 32.00 , 50.00 , 73.00 , 114.00 , 45.25 
IA,Iowa,13.81,13.92, 3.32 , 3.63 , 4.05 , 3.79 , 115.53 , 27.00 , 20.00 , 106.00 , 114.00 , 48.25 
KS,Kansas,11.56,13.56, 3.27 , 3.58 , 3.89 , 3.73 , 124.67 , 49.00 , 35.00 , 94.00 , 114.00 , 48.00 
KY,Kentucky,10.56,10.68, 3.32 , 3.79 , 4.19 , 3.85 , 131.37 , 21.00 , 20.00 , 55.00 , 114.00 , 48.25 
LA,Louisiana,9.37,10.19, 3.18 , 3.58 , 3.94 , 3.74 , 99.44 , 24.00 , 45.00 , 104.00 , 114.00 , 46.50 
ME,Maine,16.16,16.17, 3.48 , 3.88 , 4.28 , 4.27 , 99.44 , 24.00 , 45.00 , 104.00 , 114.00 , 46.50 
MD,Maryland,13.92,14.22, 3.69 , 4.23 , 4.51 , 4.10 , 127.62 , 46.00 , 30.00 , 80.00 , 114.00 , 52.25 
MA,Massachusetts,21.11,18.56, 3.41 , 3.94 , 4.29 , 4.23 , 136.37 , 34.00 , 30.00 , 77.00 , 114.00 , 49.00 
MI,Michigan,16.07,15.86, 3.65 , 4.15 , 4.65 , 4.09 , 117.57 , 29.00 , 30.00 , 74.00 , 114.00 , 48.50 
MN,Minnesota,14.09,13.96, 3.31 , 3.66 , 4.06 , 3.82 , 104.76 , 28.00 , 30.00 , 55.00 , 114.00 , 49.00 
MS,Mississippi,11.55,11.4, 3.11 , 3.51 , 3.88 , 3.70 , 135.31 , 23.00 , 30.00 , 63.00 , 114.00 , 47.00 
MO,Missouri,13.23,13.25, 3.34 , 3.69 , 3.98 , 3.71 , 118.55 , 39.00 , 20.00 , 108.00 , 114.00 , 47.50 
MT,Montana,11.85,11.73, 3.60 , 3.91 , 4.21 , 4.05 , 97.84 , 38.00 , 45.00 , 37.00 , 114.00 , 47.50 
NE,Nebraska,11.31,12.06, 3.41 , 3.60 , 4.04 , 3.74 , 108.09 , 23.00 , 20.00 , 68.00 , 114.00 , 46.25 
NV,Nevada,11.67,11.64, 4.64 , 4.90 , 5.13 , 4.22 , 110.17 , 26.00 , 20.00 , 56.00 , 114.00 , 50.50 
NH,New Hampshire,19.63,19.3, 3.38 , 3.83 , 4.25 , 4.20 , 125.24 , 27.00 , 30.00 , 90.00 , 114.00 , 48.00 
NJ,New Jersey,15.64,15.96, 3.44 , 3.94 , 4.20 , 4.02 , 112.39 , 72.00 , 40.00 , 66.00 , 114.00 , 49.50 
NM,New Mexico,13.37,13.41, 3.27 , 3.64 , 3.93 , 3.80 , 87.31 , 32.00 , 30.00 , 60.00 , 114.00 , 39.50 
NY,New York,19.3,18.76, 3.56 , 4.03 , 4.40 , 4.40 , 116.70 , 30.00 , 30.00 , 96.00 , 114.00 , 47.00 
NC,North Carolina,11.24,11.07, 3.38 , 3.79 , 4.17 , 3.96 , 120.68 , 20.00 , 35.00 , 63.00 , 114.00 , 47.75 
ND,North Dakota,12.07,12.34, 3.41 , 3.74 , 4.06 , 3.82 , 112.93 , 31.00 , 30.00 , 62.00 , 114.00 , 47.00 
MP,Northerm Mariana Isl,33,, 5.21 ,,,, 230.00 , 49.00 , 60.00 , 102.00 , 65.00 ,
OH,Ohio,12.64,12.67, 3.60 , 4.03 , 4.50 , 4.02 , 112.21 , 27.00 , 25.00 , 148.00 , 114.00 , 46.50 
OK,Oklahoma,10.72,10.53, 3.23 , 3.57 , 3.84 , 3.61 , 119.69 , 35.00 , 20.00 , 71.00 , 114.00 , 48.00 
OR,Oregon,11.02,10.97, 4.44 , 4.66 , 4.90 , 4.30 , 106.49 , 76.00 , 30.00 , 32.00 , 114.00 , 49.00 
PA,Pennsylvania,14.38,14.52, 3.75 , 4.14 , 4.48 , 4.51 , 117.11 , 31.00 , 30.00 , 103.00 , 114.00 , 48.00 
PR,Puerto Rico,22.65,, 3.75 ,,,, 207.00 , 80.00 , 49.99 , 125.00 ,,
RI,Rhode Island,18.64,16.65, 3.43 , 4.05 , 4.38 , 4.29 , 130.40 , 32.00 , 20.00 , 95.00 , 114.00 , 48.25 
SC,South Carolina,12.91,13.07, 3.26 , 3.66 , 4.02 , 3.81 , 138.65 , 33.00 , 25.00 , 96.00 , 114.00 , 46.75 
SD,South Dakota,12.39,12.57, 3.39 , 3.55 , 3.97 , 3.71 , 124.50 , 26.00 , 50.00 , 50.00 , 114.00 , 44.25 
TN,Tennessee,10.79,10.93, 3.27 , 3.68 , 4.04 , 3.83 , 130.98 , 43.00 , 30.00 , 66.00 , 114.00 , 47.50 
TX,Texas,11.36,11.15, 3.27 , 3.67 , 4.01 , 3.67 , 132.40 , 37.00 , 30.00 , 61.00 , 114.00 , 49.50 
UT,Utah,10.63,11.48, 3.97 , 4.19 , 4.41 , 3.86 , 80.87 , 38.00 , 30.00 , 35.00 , 114.00 , 47.75 
VT,Vermont,18.5,18.02, 3.47 , 3.97 , 4.36 , 4.13 , 109.24 , 18.00 , 30.00 , 89.00 , 114.00 , 45.50 
VI,Virgin Islands,42,, 4.69 ,, 4.89 , 4.40 , 250.00 , 75.00 , 111.00 , 100.00 ,,
VA,Virginia,12.4,11.91, 3.52 , 3.95 , 4.31 , 4.02 , 130.92 , 36.00 , 20.00 , 80.00 , 114.00 , 49.25 
WA,Washington,9.79,9.95, 4.67 , 4.92 , 5.13 , 4.73 , 99.45 , 75.00 , 30.00 , 33.00 , 114.00 , 49.75 
WV,West Virginia,11.57,11.69, 3.59 , 3.99 , 4.39 , 4.01 , 129.61 , 91.00 , 38.00 , 69.00 , 114.00 , 44.50 
WI,Wisconsin,14.28,15.05, 3.43 , 3.88 , 4.32 , 3.83 , 100.18 , 18.00 , 40.00 , 77.00 , 114.00 , 46.50 
WY,Wyoming,12.3,12.21, 3.38 , 3.64 , 3.91 , 3.85 , 96.82 , 53.00 , 45.00 , 43.00 , 114.00 , 47.25 
